"P1_x","P1_y"
0.08131,0.418674404,
0.08141,0.4188743208,
0.08151,0.4190739441,
0.08161,0.4192732753,
0.08171,0.419472316,
0.08181,0.4196710679,
0.08191,0.419869533,
0.08201,0.4200677135,
0.08211,0.4202656116,
0.08221,0.42046323,
0.08231,0.4206605714,
0.08241,0.4208576387,
0.08251,0.4210544349,
0.08261,0.4212509634,
0.08271,0.4214472275,
0.08281,0.421643231,
0.08291,0.4218389775,
0.08301,0.422034471,
0.08311,0.4222297156,
0.08321,0.4224247155,
0.08331,0.4226194752,
0.08341,0.4228139991,
0.08351,0.423008292,
0.08361,0.4232023587,
0.08371,0.4233962042,
0.08381,0.4235898336,
0.08391,0.4237832521,
0.08401,0.4239764651,
0.08411,0.424169478,
0.08421,0.4243622965,
0.08431,0.4245549263,
0.08441,0.4247473732,
0.08451,0.4249396431,
0.08461,0.4251317421,
0.08471,0.4253236764,
0.08481,0.4255154522,
0.08491,0.4257070758,
0.08501,0.4258985536,
0.08511,0.4260898922,
0.08521,0.4262810981,
0.08531,0.426472178,
0.08541,0.4266631387,
0.08551,0.426853987,
0.08561,0.4270447298,
0.08571,0.427235374,
0.08581,0.4274259266,
0.08591,0.4276163947,
0.08601,0.4278067855,
0.08611,0.4279971061,
0.08621,0.4281873637,
0.08631,0.4283775656,
0.08641,0.4285677191,
0.08651,0.4287578315,
0.08661,0.4289479102,
0.08671,0.4291379626,
0.08681,0.4293279962,
0.08691,0.4295180183,
0.08701,0.4297080365,
0.08711,0.4298980582,
0.08721,0.4300880909,
0.08731,0.4302781421,
0.08741,0.4304682193,
0.08751,0.4306583301,
0.08761,0.4308484819,
0.08771,0.4310386823,
0.08781,0.4312289387,
0.08791,0.4314192586,
0.08801,0.4316096496,
0.08811,0.4318001189,
0.08821,0.4319906742,
0.08831,0.4321813228,
0.08841,0.432372072,
0.08851,0.4325629293,
0.08861,0.4327539019,
0.08871,0.4329449972,
0.08881,0.4331362224,
0.08891,0.4333275847,
0.08901,0.4335190912,
0.08911,0.4337107492,
0.08921,0.4339025656,
0.08931,0.4340945474,
0.08941,0.4342867017,
0.08951,0.4344790353,
0.08961,0.4346715551,
0.08971,0.4348642679,
0.08981,0.4350571804,
0.08991,0.4352502992,
0.09001,0.4354436309,
0.09011,0.435637182,
0.09021,0.435830959,
0.09031,0.4360249682,
0.09041,0.4362192158,
0.09051,0.4364137082,
0.09061,0.4366084513,
0.09071,0.4368034513,
0.09081,0.436998714,
0.09091,0.4371942453,
0.09101,0.437390051,
0.09111,0.4375861367,
0.09121,0.437782508,
0.09131,0.4379791704,
0.09141,0.4381761292,
0.09151,0.4383733897,
0.09161,0.438570957,
0.09171,0.4387688363,
0.09181,0.4389670324,
0.09191,0.4391655503,
0.09201,0.4393643946,
0.09211,0.4395635701,
0.09221,0.4397630811,
0.09231,0.4399629322,
0.09241,0.4401631275,
0.09251,0.4403636713,
0.09261,0.4405645676,
0.09271,0.4407658204,
0.09281,0.4409674334,
0.09291,0.4411694105,
0.09301,0.441371755,
0.09311,0.4415744705,
0.09321,0.4417775604,
0.09331,0.4419810278,
0.09341,0.4421848757,
0.09351,0.4423891073,
0.09361,0.4425937252,
0.09371,0.4427987321,
0.09381,0.4430041308,
0.09391,0.4432099235,
0.09401,0.4434161126,
0.09411,0.4436227004,
0.09421,0.4438296887,
0.09431,0.4440370797,
0.09441,0.444244875,
0.09451,0.4444530764,
0.09461,0.4446616854,
0.09471,0.4448707034,
0.09481,0.4450801316,
0.09491,0.4452899713,
0.09501,0.4455002234,
0.09511,0.4457108888,
0.09521,0.4459219683,
0.09531,0.4461334625,
0.09541,0.446345372,
0.09551,0.446557697,
0.09561,0.4467704378,
0.09571,0.4469835946,
0.09581,0.4471971674,
0.09591,0.4474111559,
0.09601,0.4476255599,
0.09611,0.4478403791,
0.09621,0.4480556129,
0.09631,0.4482712607,
0.09641,0.4484873217,
0.09651,0.448703795,
0.09661,0.4489206797,
0.09671,0.4491379746,
0.09681,0.4493556785,
0.09691,0.4495737899,
0.09701,0.4497923075,
0.09711,0.4500112296,
0.09721,0.4502305545,
0.09731,0.4504502804,
0.09741,0.4506704053,
0.09751,0.4508909273,
0.09761,0.4511118441,
0.09771,0.4513331535,
0.09781,0.4515548531,
0.09791,0.4517769405,
0.09801,0.451999413,
0.09811,0.452222268,
0.09821,0.4524455027,
0.09831,0.4526691142,
0.09841,0.4528930996,
0.09851,0.4531174558,
0.09861,0.4533421796,
0.09871,0.4535672677,
0.09881,0.4537927169,
0.09891,0.4540185237,
0.09901,0.4542446845,
0.09911,0.4544711958,
0.09921,0.4546980539,
0.09931,0.454925255,
0.09941,0.4551527953,
0.09951,0.4553806708,
0.09961,0.4556088777,
0.09971,0.4558374117,
0.09981,0.4560662689,
0.09991,0.4562954449,
0.10001,0.4565249356,
0.10011,0.4567547366,
0.10021,0.4569848435,
0.10031,0.4572152519,
0.10041,0.4574459573,
0.10051,0.4576769552,
0.10061,0.4579082408,
0.10071,0.4581398097,
0.10081,0.458371657,
0.10091,0.4586037781,
0.10101,0.4588361681,
0.10111,0.4590688222,
0.10121,0.4593017357,
0.10131,0.4595349035,
0.10141,0.4597683207,
0.10151,0.4600019824,
0.10161,0.4602358836,
0.10171,0.4604700193,
0.10181,0.4607043845,
0.10191,0.4609389741,
0.10201,0.4611737829,
0.10211,0.4614088061,
0.10221,0.4616440383,
0.10231,0.4618794746,
0.10241,0.4621151097,
0.10251,0.4623509387,
0.10261,0.4625869562,
0.10271,0.4628231573,
0.10281,0.4630595368,
0.10291,0.4632960895,
0.10301,0.4635328103,
0.10311,0.4637696941,
0.10321,0.4640067359,
0.10331,0.4642439304,
0.10341,0.4644812727,
0.10351,0.4647187576,
0.10361,0.4649563802,
0.10371,0.4651941354,
0.10381,0.4654320181,
0.10391,0.4656700236,
0.10401,0.4659081467,
0.10411,0.4661463826,
0.10421,0.4663847264,
0.10431,0.4666231733,
0.10441,0.4668617184,
0.10451,0.467100357,
0.10461,0.4673390843,
0.10471,0.4675778956,
0.10481,0.4678167864,
0.10491,0.468055752,
0.10501,0.4682947879,
0.10511,0.4685338894,
0.10521,0.4687730523,
0.10531,0.4690122721,
0.10541,0.4692515445,
0.10551,0.4694908651,
0.10561,0.4697302298,
0.10571,0.4699696344,
0.10581,0.4702090747,
0.10591,0.4704485468,
0.10601,0.4706880467,
0.10611,0.4709275703,
0.10621,0.471167114,
0.10631,0.4714066739,
0.10641,0.4716462464,
0.10651,0.4718858277,
0.10661,0.4721254143,
0.10671,0.4723650028,
0.10681,0.4726045897,
0.10691,0.4728441717,
0.10701,0.4730837456,
0.10711,0.4733233081,
0.10721,0.4735628561,
0.10731,0.4738023867,
0.10741,0.4740418969,
0.10751,0.4742813838,
0.10761,0.4745208447,
0.10771,0.4747602769,
0.10781,0.4749996777,
0.10791,0.4752390447,
0.10801,0.4754783754,
0.10811,0.4757176675,
0.10821,0.4759569187,
0.10831,0.4761961268,
